code;card;hum;mode;time;G-score;G-magnitude;Azure-TA;Text;Text-EN
b7adde8a9eec8ce92b5ee0507ce054a4;13V;1;T;200000;-0,2;0,2;0,62;Era un niño pensando en el granero pensando a ver a quien pega el cantazo, si a la niña de rojo o la niña de negro.;It was a child sitting in the barn and thinking about who to hit with a stone, whether the girl in red or the girl in black.
b7adde8a9eec8ce92b5ee0507ce054a4;18NM;2;T;200000;-0,5;0,5;0,41;Una madre que está consolando a su hijo, después de darle las notas, que ha sacado no sé cuantos insuficientes;A mother who is comforting her son, after giving her the notes, she has taken out I do not know how many insuffcent
b7adde8a9eec8ce92b5ee0507ce054a4;12VN;0;T;200000;0;1,2;0,63;Un pantanal con una barca abandonada. A ver qué están haciendo los de la barca. Buscar setas.;A swam with an abandoned boat. Let's see what the kids are doing. Maybe searching for mushrooms.
76ef63369f7d5b6597a543017e1ef578;12VN;0;T;200000;0;0,1;0,89;Era un paraje muy bonito, con una barca, un poco solitario, con mucha arboleda bonita, pero era triste porque no había nadie. Hasta que un día aparecieron unos pajaritos que hablaban y al rato aparecieron unos niños y se empezó a poner reluciente y bonito;It was a beautiful place, with a boat, a little lonely, with a lot of beautiful trees, but it was sad because there was nobody. Until one day some little birds appeared talking and then some children appeared and started to get shiny and pretty
76ef63369f7d5b6597a543017e1ef578;10;2;T;200000;0,3;0,1;0,24;Era una vez un matrimonio, que se quería muchísimo, y un día, de buenas a primeras, vino el marido y dijo que se tenía que ir lejos, muy lejos, a vivir. Y la mujer no cesaba de llorar.;It was once a husband and wife, who loved each other very much, and one day, at first, the husband came and said he had to go far, far away, to live. And the woman did not stop crying.
76ef63369f7d5b6597a543017e1ef578;1;1;T;200000;-0,3;0,9;0,34;Erase una vez un niño que se encontraba muy triste porque no le salían bien las cosas del colegio. Y se ponía cada vez más tarde porque se pensaba que le iban a reñir. Y cada vez más triste, cada vez más triste, y no salía de su tristeza, hasta que un día le dijeron: si no pasa nada.;Once upon a time there was a child who was very sad because things did not go well at school. And he would get late each time because he thought they were going to fight him. And more and more sad, more and more sad, and did not leave his sadness, until one day they said: never mind.
3a7bc6a0450eda9cc016324a2ee5b749;3VH;1;T;200000;-0,1;0,3;0,16;Alguien que está triste o cansado de algo y está decidiendo su vida, no sé, porque parece que está aquí con unas tijeras. O que está decepcionada o triste. ;Someone who is sad or tired of something and is deciding his life, I do not know, because he seems to be here with scissors. Or that is disappointed or sad.
3a7bc6a0450eda9cc016324a2ee5b749;11;0;T;200000;0,2;0,2;0,82;Erase una vez un bosque encantado en el cual no habitaba nadie hasta que un día apareció un toro y empezaron a descubrir un mundo mágico en el cual las piedras hablaban;Once upon a time there was an enchanted forest in which no one lived until one day a bull appeared and they began to discover a magical world in which the stones spoke
3a7bc6a0450eda9cc016324a2ee5b749;13N;1;T;200000;0,8;0,8;0,69;Erase una vez un niño que le gustaba descubrir cosas y decidió subir por unas escaleras que descubrió cuando sus padres fueron a un bar, se adentró en un mundo mágico en el que comenzó a escalar y escalar y llegó al cielo. ;Once upon a time there was a child who liked to discover things and decided to go up some stairs that he discovered when his parents went to a bar, he entered a magical world in which he began to climb and climb and reached heaven.
4509cf6e9d9a624a3a809bf96cfbdbd7;3VH;1;T;200000;-0,1;0,3;0,45;Pues no sé. Puede haber llegado por la noche de fiesta y se queda dormida ahí con la ropa y sin quitarse las lentillas. Y hasta el día siguiente. ;Well, I do not know. She may have arrived at night from the party and falls asleep there with her clothes on and without removing her contact lenses. And there she is until the next day.
