Text	AlexLabel	card	TAS20	F1	F2	F3	SubClass	Tokens	Words	Stems
Erase una vez un niño que se encontraba muy triste porque no le salían bien las cosas del colegio. Y se ponía cada vez más tarde porque se pensaba que le iban a reñir. Y cada vez más triste, cada vez más triste, y no salía de su tristeza, hasta que un día le dijeron: si no pasa nada.	Alex	1	63.0	23.0	21.0	19.0	Alex-1	['Erase', 'una', 'vez', 'un', 'niño', 'que', 'se', 'encontraba', 'muy', 'triste', 'porque', 'no', 'le', 'salían', 'bien', 'las', 'cosas', 'del', 'colegio', 'Y', 'se', 'ponía', 'cada', 'vez', 'más', 'tarde', 'porque', 'se', 'pensaba', 'que', 'le', 'iban', 'a', 'reñir', 'Y', 'cada', 'vez', 'más', 'triste', 'cada', 'vez', 'más', 'triste', 'y', 'no', 'salía', 'de', 'su', 'tristeza', 'hasta', 'que', 'un', 'día', 'le', 'dijeron', 'si', 'no', 'pasa', 'nada']	['erase', 'vez', 'niño', 'encontraba', 'triste', 'salían', 'bien', 'cosas', 'colegio', 'y', 'ponía', 'cada', 'vez', 'tarde', 'pensaba', 'iban', 'reñir', 'y', 'cada', 'vez', 'triste', 'cada', 'vez', 'triste', 'salía', 'tristeza', 'día', 'dijeron', 'si', 'pasa']	['eras', 'vez', 'niñ', 'encontr', 'trist', 'sal', 'bien', 'cos', 'colegi', 'y', 'pon', 'cad', 'vez', 'tard', 'pens', 'iban', 'reñ', 'y', 'cad', 'vez', 'trist', 'cad', 'vez', 'trist', 'sal', 'tristez', 'dia', 'dijeron', 'si', 'pas']
Erase una vez un bosque encantado en el cual no habitaba nadie hasta que un día apareció un toro y empezaron a descubrir un mundo mágico en el cual las piedras hablaban	Alex	11	56.0	18.0	20.0	18.0	Alex-11	['Erase', 'una', 'vez', 'un', 'bosque', 'encantado', 'en', 'el', 'cual', 'no', 'habitaba', 'nadie', 'hasta', 'que', 'un', 'día', 'apareció', 'un', 'toro', 'y', 'empezaron', 'a', 'descubrir', 'un', 'mundo', 'mágico', 'en', 'el', 'cual', 'las', 'piedras', 'hablaban']	['erase', 'vez', 'bosque', 'encantado', 'habitaba', 'nadie', 'día', 'apareció', 'toro', 'empezaron', 'descubrir', 'mundo', 'mágico', 'piedras', 'hablaban']	['eras', 'vez', 'bosqu', 'encant', 'habit', 'nadi', 'dia', 'aparec', 'tor', 'empez', 'descubr', 'mund', 'magic', 'piedr', 'habl']
Me da sensación de que le ha pasado algo y que el hombre está disgustado, está llorando. Está tapandose los ojos porque está llorando	NoAlex	13HM	35.0	13.0	9.0	13.0	NoAlex-13HM	['Me', 'da', 'sensación', 'de', 'que', 'le', 'ha', 'pasado', 'algo', 'y', 'que', 'el', 'hombre', 'está', 'disgustado', 'está', 'llorando', 'Está', 'tapandose', 'los', 'ojos', 'porque', 'está', 'llorando']	['me', 'da', 'sensación', 'pasado', 'hombre', 'disgustado', 'llorando', 'está', 'tapandose', 'ojos', 'llorando']	['me', 'da', 'sensacion', 'pas', 'hombr', 'disgust', 'llor', 'esta', 'tap', 'ojos', 'llor']
Hay unos dragones que acaban de aterrizar en una cueva y están preparados para saltar por el precipicio. 	NoAlex	11	35.0	13.0	9.0	13.0	NoAlex-11	['Hay', 'unos', 'dragones', 'que', 'acaban', 'de', 'aterrizar', 'en', 'una', 'cueva', 'y', 'están', 'preparados', 'para', 'saltar', 'por', 'el', 'precipicio']	['hay', 'dragones', 'acaban', 'aterrizar', 'cueva', 'preparados', 'saltar', 'precipicio']	['hay', 'dragon', 'acab', 'aterriz', 'cuev', 'prepar', 'salt', 'precipici']
Esto es en la época de los dinosaurios. Esto es un puente y aquí hay un precipicio y están pasando caballeros porque quieren subir las paredes del castillo. Y desde arriba están echando agua hirviendo. 	NoAlex	11	43.0	10.0	12.0	21.0	NoAlex-11	['Esto', 'es', 'en', 'la', 'época', 'de', 'los', 'dinosaurios', 'Esto', 'es', 'un', 'puente', 'y', 'aquí', 'hay', 'un', 'precipicio', 'y', 'están', 'pasando', 'caballeros', 'porque', 'quieren', 'subir', 'las', 'paredes', 'del', 'castillo', 'Y', 'desde', 'arriba', 'están', 'echando', 'agua', 'hirviendo']	['esto', 'época', 'dinosaurios', 'esto', 'puente', 'aquí', 'precipicio', 'pasando', 'caballeros', 'quieren', 'subir', 'paredes', 'castillo', 'y', 'arriba', 'echando', 'agua', 'hirviendo']	['esto', 'epoc', 'dinosauri', 'esto', 'puent', 'aqu', 'precipici', 'pas', 'caballer', 'quier', 'sub', 'pared', 'castill', 'y', 'arrib', 'echand', 'agu', 'hirv']
Son unos señores que estaban trabajando en el campo arando y es la hora de la comida, han comido y se están echando una siesta. 	NoAlex	9VH	43.0	10.0	12.0	21.0	NoAlex-9VH	['Son', 'unos', 'señores', 'que', 'estaban', 'trabajando', 'en', 'el', 'campo', 'arando', 'y', 'es', 'la', 'hora', 'de', 'la', 'comida', 'han', 'comido', 'y', 'se', 'están', 'echando', 'una', 'siesta']	['son', 'señores', 'trabajando', 'campo', 'arando', 'hora', 'comida', 'comido', 'echando', 'siesta']	['son', 'señor', 'trabaj', 'camp', 'arand', 'hor', 'com', 'com', 'echand', 'siest']
La frustración de aprender un nuevo instrumento cuando no tiene talento musical. Estudiarlo en vez de practicarlo puede ser un rollo. 	NoAlex	1	51.0	15.0	18.0	18.0	NoAlex-1	['La', 'frustración', 'de', 'aprender', 'un', 'nuevo', 'instrumento', 'cuando', 'no', 'tiene', 'talento', 'musical', 'Estudiarlo', 'en', 'vez', 'de', 'practicarlo', 'puede', 'ser', 'un', 'rollo']	['la', 'frustración', 'aprender', 'nuevo', 'instrumento', 'talento', 'musical', 'estudiarlo', 'vez', 'practicarlo', 'puede', 'ser', 'rollo']	['la', 'frustracion', 'aprend', 'nuev', 'instrument', 'talent', 'musical', 'estudi', 'vez', 'practic', 'pued', 'ser', 'roll']
Es una pareja y el hombre se encuentra arrepentido por algo que ha pasado y culpable, por algo que no tiene el control. El algún momento ha habido algo  complicado porque se está tapando la cara y la habitación es algo muy antiguo, pero está con corbata y no en pijama así que probablemente se ha encontrado algo que no quería ver. 	NoAlex	13HM	51.0	15.0	18.0	18.0	NoAlex-13HM	['Es', 'una', 'pareja', 'y', 'el', 'hombre', 'se', 'encuentra', 'arrepentido', 'por', 'algo', 'que', 'ha', 'pasado', 'y', 'culpable', 'por', 'algo', 'que', 'no', 'tiene', 'el', 'control', 'El', 'algún', 'momento', 'ha', 'habido', 'algo', 'complicado', 'porque', 'se', 'está', 'tapando', 'la', 'cara', 'y', 'la', 'habitación', 'es', 'algo', 'muy', 'antiguo', 'pero', 'está', 'con', 'corbata', 'y', 'no', 'en', 'pijama', 'así', 'que', 'probablemente', 'se', 'ha', 'encontrado', 'algo', 'que', 'no', 'quería', 'ver']	['es', 'pareja', 'hombre', 'encuentra', 'arrepentido', 'pasado', 'culpable', 'control', 'el', 'algún', 'momento', 'complicado', 'tapando', 'cara', 'habitación', 'antiguo', 'corbata', 'pijama', 'así', 'probablemente', 'encontrado', 'quería', 'ver']	['es', 'parej', 'hombr', 'encuentr', 'arrepent', 'pas', 'culpabl', 'control', 'el', 'algun', 'moment', 'complic', 'tap', 'car', 'habit', 'antigu', 'corbat', 'pijam', 'asi', 'probabl', 'encontr', 'quer', 'ver']
Hay un niño cuyos padres le han oblidado a tocar el violín, y aunque él lo hace a veces se siente muy frustrado porque no sabe hasta qué punto quiere dedicar su vida la música y está pensando que a lo mejor su vida debe encaminarse hacia otro lado, hacer otros tipos de música que no incluyan el clásico, pero sus padres no le hacen caso. 	NoAlex	1	36.0	16.0	7.0	13.0	NoAlex-1	['Hay', 'un', 'niño', 'cuyos', 'padres', 'le', 'han', 'oblidado', 'a', 'tocar', 'el', 'violín', 'y', 'aunque', 'él', 'lo', 'hace', 'a', 'veces', 'se', 'siente', 'muy', 'frustrado', 'porque', 'no', 'sabe', 'hasta', 'qué', 'punto', 'quiere', 'dedicar', 'su', 'vida', 'la', 'música', 'y', 'está', 'pensando', 'que', 'a', 'lo', 'mejor', 'su', 'vida', 'debe', 'encaminarse', 'hacia', 'otro', 'lado', 'hacer', 'otros', 'tipos', 'de', 'música', 'que', 'no', 'incluyan', 'el', 'clásico', 'pero', 'sus', 'padres', 'no', 'le', 'hacen', 'caso']	['hay', 'niño', 'cuyos', 'padres', 'oblidado', 'tocar', 'violín', 'aunque', 'hace', 'veces', 'frustrado', 'sabe', 'punto', 'quiere', 'dedicar', 'vida', 'música', 'pensando', 'mejor', 'vida', 'debe', 'encaminarse', 'hacia', 'lado', 'hacer', 'tipos', 'música', 'incluyan', 'clásico', 'padres', 'hacen', 'caso']	['hay', 'niñ', 'cuy', 'padr', 'oblid', 'toc', 'violin', 'aunqu', 'hac', 'vec', 'frustr', 'sab', 'punt', 'quier', 'dedic', 'vid', 'music', 'pens', 'mejor', 'vid', 'deb', 'encamin', 'haci', 'lad', 'hac', 'tip', 'music', 'inclu', 'clasic', 'padr', 'hac', 'cas']
Un día me propuse cruzar la montaña, subí a lo más alto de la montaña y vi una cascada y de repente vi un arco y un peregrino andante que estaba por ahí y dije por fin he llegado a mi meta, voy a descansar. 	NoAlex	11	36.0	16.0	7.0	13.0	NoAlex-11	['Un', 'día', 'me', 'propuse', 'cruzar', 'la', 'montaña', 'subí', 'a', 'lo', 'más', 'alto', 'de', 'la', 'montaña', 'y', 'vi', 'una', 'cascada', 'y', 'de', 'repente', 'vi', 'un', 'arco', 'y', 'un', 'peregrino', 'andante', 'que', 'estaba', 'por', 'ahí', 'y', 'dije', 'por', 'fin', 'he', 'llegado', 'a', 'mi', 'meta', 'voy', 'a', 'descansar']	['un', 'día', 'propuse', 'cruzar', 'montaña', 'subí', 'alto', 'montaña', 'vi', 'cascada', 'repente', 'vi', 'arco', 'peregrino', 'andante', 'ahí', 'dije', 'fin', 'llegado', 'meta', 'voy', 'descansar']	['un', 'dia', 'propus', 'cruz', 'montañ', 'sub', 'alto', 'montañ', 'vi', 'casc', 'repent', 'vi', 'arco', 'peregrin', 'andant', 'ahi', 'dij', 'fin', 'lleg', 'met', 'voy', 'descans']
