Text	AlexLabel	card	TAS20	F1	F2	F3	SubClass
Erase una vez un niño que se encontraba muy triste porque no le salían bien las cosas del colegio. Y se ponía cada vez más tarde porque se pensaba que le iban a reñir. Y cada vez más triste, cada vez más triste, y no salía de su tristeza, hasta que un día le dijeron: si no pasa nada.	Alex	1	63.0	23.0	21.0	19.0	Alex-1
Erase una vez un bosque encantado en el cual no habitaba nadie hasta que un día apareció un toro y empezaron a descubrir un mundo mágico en el cual las piedras hablaban	Alex	11	56.0	18.0	20.0	18.0	Alex-11
Me da sensación de que le ha pasado algo y que el hombre está disgustado, está llorando. Está tapandose los ojos porque está llorando	NoAlex	13HM	35.0	13.0	9.0	13.0	NoAlex-13HM
Hay unos dragones que acaban de aterrizar en una cueva y están preparados para saltar por el precipicio. 	NoAlex	11	35.0	13.0	9.0	13.0	NoAlex-11
Esto es en la época de los dinosaurios. Esto es un puente y aquí hay un precipicio y están pasando caballeros porque quieren subir las paredes del castillo. Y desde arriba están echando agua hirviendo. 	NoAlex	11	43.0	10.0	12.0	21.0	NoAlex-11
Son unos señores que estaban trabajando en el campo arando y es la hora de la comida, han comido y se están echando una siesta. 	NoAlex	9VH	43.0	10.0	12.0	21.0	NoAlex-9VH
La frustración de aprender un nuevo instrumento cuando no tiene talento musical. Estudiarlo en vez de practicarlo puede ser un rollo. 	NoAlex	1	51.0	15.0	18.0	18.0	NoAlex-1
Es una pareja y el hombre se encuentra arrepentido por algo que ha pasado y culpable, por algo que no tiene el control. El algún momento ha habido algo  complicado porque se está tapando la cara y la habitación es algo muy antiguo, pero está con corbata y no en pijama así que probablemente se ha encontrado algo que no quería ver. 	NoAlex	13HM	51.0	15.0	18.0	18.0	NoAlex-13HM
Hay un niño cuyos padres le han oblidado a tocar el violín, y aunque él lo hace a veces se siente muy frustrado porque no sabe hasta qué punto quiere dedicar su vida la música y está pensando que a lo mejor su vida debe encaminarse hacia otro lado, hacer otros tipos de música que no incluyan el clásico, pero sus padres no le hacen caso. 	NoAlex	1	36.0	16.0	7.0	13.0	NoAlex-1
Un día me propuse cruzar la montaña, subí a lo más alto de la montaña y vi una cascada y de repente vi un arco y un peregrino andante que estaba por ahí y dije por fin he llegado a mi meta, voy a descansar. 	NoAlex	11	36.0	16.0	7.0	13.0	NoAlex-11
Yo veo como unos gorriones que se han posado en la ladera de una montaña y están descansando en medio de un viaje. Y en la montaña ha habido derrumbamientos, pero no pasa nada. Y están pues tranquilos, reposando sin más. 	NoAlex	11	29.0	12.0	6.0	11.0	NoAlex-11
Pues lo que veo es un niño que está harto de tocar el violín, que le obligan, y es que está desesperado porque no le gusta nada, y está pues pensando cómo hacer para dejarlo. 	NoAlex	1	29.0	12.0	6.0	11.0	NoAlex-1
